category,brand,model,weight_kg,reference_price,currency,product_url,official_source
tent,Naturehike,Mongar™ BASE 3-Person Backpacking Tent,3.8,159.0,USD,https://www.campgearcompare.com/products/naturehike-mongartm-base-3-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/mongartm-base-3-person-ultralight-backpacking-tent
tent,Naturehike,Mongar™ Pro 1-Person Ultralight Backpacking Tent,1.97,149.0,USD,https://www.campgearcompare.com/products/naturehike-mongartm-pro-1-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/mongartm-pro-1-person-ultralight-backpacking-tent
tent,Naturehike,Mongar™ Pro 3-Person Ultralight Backpacking Tent,3.0,199.0,USD,https://www.campgearcompare.com/products/naturehike-mongartm-pro-3-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/mongartm-pro-3-person-ultralight-backpacking-tent
tent,Naturehike,Mongar™ UL 1-Person Ultralight Backpacking Tent,1.7,149.0,USD,https://www.campgearcompare.com/products/naturehike-mongar-ul-1-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/mongar-ul-1-person-ultralight-backpacking-tent
tent,Naturehike,Mongar™ UL 2-Person Ultralight Backpacking Tent,2.1,199.0,USD,https://www.campgearcompare.com/products/naturehike-mongar-ul-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/mongar-ul-2-person-ultralight-backpacking-tent
tent,Naturehike,Naturehike Cloud Boat Fast Tunnel Tent,22.8,399.99,USD,https://www.campgearcompare.com/products/naturehike-naturehike-cloud-boat-fast-tunnel-tent.html,https://www.naturehike.com/products/naturehike-cloud-boat-fast-tunnel-tent
tent,Naturehike,Naturehike Comfort Shower & Changing Tent,6.0,100.0,USD,https://www.campgearcompare.com/products/naturehike-naturehike-comfort-shower-changing-tent.html,https://www.naturehike.com/products/naturehike-comfort-shower-changing-tent
tent,Naturehike,Naturehike Dry & Wet Separation Automatic Shower Tent,7.0,194.37,USD,https://www.campgearcompare.com/products/naturehike-naturehike-dry-wet-separation-automatic-shower-tent.html,https://www.naturehike.com/products/naturehike-dry-wet-separation-automatic-shower-tent
tent,Naturehike,Naturehike Folding Shower & Changing Tent,3.1,59.99,USD,https://www.campgearcompare.com/products/naturehike-naturehike-folding-shower-changing-tent.html,https://www.naturehike.com/products/naturehike-folding-shower-changing-tent
tent,Naturehike,P-Series  Family Camping Tent,10.0,78.39,USD,https://www.campgearcompare.com/products/naturehike-p-series-family-camping-tent.html,https://www.naturehike.com/products/p-series-family-camping-tent
tent,Naturehike,Ranch Fire™ 4-Person Pyramid Hot Tent,5.1,159.0,USD,https://www.campgearcompare.com/products/naturehike-ranch-fire-4-person-pyramid-hot-tent.html,https://www.naturehike.com/products/ranch-fire-4-person-pyramid-hot-tent
tent,Naturehike,Ranch Fire™ 6-Person Octagonal Hot Tent,21.0,59.99,USD,https://www.campgearcompare.com/products/naturehike-ranch-fire-6-person-octagonal-hot-tent.html,https://www.naturehike.com/products/ranch-fire-6-person-octagonal-hot-tent
tent,Naturehike,Star River™ 2-Person Ultralight Backpacking Tent,2.4,119.0,USD,https://www.campgearcompare.com/products/naturehike-star-river-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/star-river-2-person-ultralight-backpacking-tent
tent,Naturehike,Star River™ EXT 2-Person Ultralight Backpacking Tent,1.9,299.0,USD,https://www.campgearcompare.com/products/naturehike-star-rivertm-ext-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/star-rivertm-ext-2-person-ultralight-backpacking-tent
tent,Naturehike,Star River™ UL 2-Person Ultralight Backpacking Tent,1.85,199.0,USD,https://www.campgearcompare.com/products/naturehike-star-river-ul-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/star-river-ul-2-person-ultralight-backpacking-tent
tent,Naturehike,Star Trail™ EXT 1-Person Ultralight Backpacking Tent,1.23,139.0,USD,https://www.campgearcompare.com/products/naturehike-star-trail-1-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/star-trail-1-person-ultralight-backpacking-tent
tent,Naturehike,Star Trail™ EXT 2-Person Ultralight Backpacking Tent,1.6,159.0,USD,https://www.campgearcompare.com/products/naturehike-star-trailtm-ext-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/star-trailtm-ext-2-person-ultralight-backpacking-tent
tent,Naturehike,Summiture™ 2-Person Ultralight Backpacking Tent,1.7,270.0,USD,https://www.campgearcompare.com/products/naturehike-summiture-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/summiture-2-person-ultralight-backpacking-tent
tent,Naturehike,Tagar™ 1-Person Ultralight Backpacking Tent,1.4,119.0,USD,https://www.campgearcompare.com/products/naturehike-tagar-1-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/tagar-1-person-ultralight-backpacking-tent
